,Total_Project_Budget,Total_Project_Budget,Total_Project_Budget,Total_Project_Budget,Total_Project_Budget,Total_Project_Budget,Total_Project_Budget,Total_Project_Budget,Total_Project_Budget,Total_Project_Budget,Total_Project_Budget,Total_Project_Budget,Total_Project_Budget,Total_Project_Budget,Total_Project_Budget,Total_Project_Budget,Total
Department,Boston Centers for Youth and Families,Boston Planning and Development Agency,Boston Public Library,Boston Public Schools,Department of Innovation and Technology,Environment Department,Fire Department,Mayor's Office of Housing,Office of Arts & Culture,Office of New Urban Mechanics,Parks and Recreation Department,Police Department,Property Management Department,Public Health Commission,Public Works Department,Transportation Department,
Neighborhood,,,,,,,,,,,,,,,,,
Citywide,9250000.0,0.0,200000.0,109732484.0,9411905.0,122882879.0,53300000.0,0.0,15100000.0,0.0,38407383.0,53370000.0,0.0,23215000.0,210190000.0,35115000.0,680174651.0
Charlestown,2700000.0,1000000.0,0.0,32000000.0,0.0,0.0,0.0,30000000.0,0.0,0.0,13565000.0,0.0,0.0,0.0,399037390.0,1200000.0,479502390.0
Various neighborhoods,200000.0,0.0,0.0,107860257.0,14020523.0,5000000.0,3537697.0,15000000.0,0.0,200000.0,25825000.0,7240000.0,26364600.0,100000.0,19967500.0,116273023.0,341588600.0
Fenway/Kenmore,0.0,0.0,0.0,137370916.0,0.0,0.0,4921700.0,0.0,0.0,0.0,97055642.0,0.0,0.0,0.0,0.0,0.0,239348258.0
Chinatown,0.0,0.0,22000000.0,215372172.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,500000.0,0.0,238872172.0
Government Center/Faneuil Hall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209323273.0,0.0,0.0,0.0,209323273.0
South Boston,31150000.0,3650000.0,250000.0,500000.0,0.0,0.0,0.0,10000000.0,0.0,0.0,30305000.0,0.0,0.0,11000000.0,108200000.0,2760000.0,197815000.0
Roxbury,0.0,0.0,22000000.0,18858325.0,0.0,0.0,6195000.0,0.0,700000.0,0.0,37005000.0,7260000.0,500000.0,601000.0,36250000.0,29353974.0,158723299.0
Dorchester,6500000.0,0.0,42080000.0,34148681.0,0.0,0.0,30000000.0,0.0,375000.0,0.0,23185000.0,0.0,0.0,0.0,200000.0,3090000.0,139578681.0
South End,0.0,0.0,1000000.0,97141532.0,0.0,0.0,3000000.0,0.0,0.0,0.0,5675000.0,0.0,0.0,12367000.0,9422050.0,10689452.0,139295034.0
Harbor Islands,0.0,0.0,0.0,0.0,0.0,838080.0,2800000.0,0.0,0.0,0.0,0.0,0.0,0.0,22000000.0,108758144.0,0.0,134396224.0
Financial District/Downtown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120400000.0,0.0,8450000.0,0.0,128850000.0
East Boston,8975000.0,450000.0,0.0,19453890.0,0.0,0.0,0.0,25500000.0,0.0,0.0,4210000.0,29900000.0,0.0,0.0,10994000.0,2150000.0,101632890.0
Jamaica Plain,0.0,0.0,575000.0,3705000.0,0.0,0.0,0.0,62000000.0,0.0,0.0,6570000.0,0.0,0.0,0.0,0.0,1000000.0,73850000.0
Back Bay,0.0,0.0,1400000.0,1301635.0,0.0,0.0,0.0,0.0,0.0,0.0,17230000.0,0.0,0.0,0.0,28486000.0,9876299.0,58293934.0
Mattapan,13200000.0,0.0,0.0,4156850.0,0.0,750000.0,0.0,0.0,250000.0,0.0,1515000.0,100000.0,0.0,4850000.0,24000000.0,0.0,48821850.0
Allston/Brighton,125000.0,0.0,14000000.0,4250000.0,0.0,0.0,0.0,0.0,0.0,0.0,10985000.0,0.0,2600000.0,0.0,13500000.0,900000.0,46360000.0
West Roxbury,0.0,0.0,0.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,11325000.0,0.0,2160000.0,15675000.0,0.0,400000.0,29710000.0
Beacon Hill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26100000.0,0.0,0.0,0.0,0.0,0.0,26100000.0
North End,5000000.0,0.0,1475000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500000.0,0.0,0.0,0.0,0.0,0.0,11975000.0
Roslindale,1000000.0,0.0,0.0,6200000.0,0.0,0.0,0.0,0.0,0.0,0.0,990000.0,0.0,0.0,0.0,0.0,50000.0,8240000.0
Mission Hill,2050000.0,0.0,0.0,1892212.0,0.0,0.0,0.0,0.0,0.0,0.0,3255000.0,0.0,0.0,0.0,0.0,300000.0,7497212.0
Hyde Park,3000000.0,0.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1950000.0,1070000.0,0.0,0.0,0.0,0.0,6520000.0
Various Neighborhoods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,5760000.0,0.0,5960000.0
West End,0.0,0.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,5000000.0
Bay Village,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950000.0,0.0,575000.0,0.0,0.0,0.0,0.0,0.0,1525000.0
